
Sağbilge,zeao1 bu1ylko7h,صاغ بیلگه
Sağbudun,zeao1 bu1wdwbo1,صاغ بودون
Sağcan,zeao1xu1ebo1,صاغجان
Sağdıç,zeao1dyxu3,صاغدیچ
Sağlam,zeao1lem,صاغلام
Sağlamer,zeao1lemr,صاغلامر
Sağlar,zeao1ler,صاغلار
Sağlar,zeao1lr,صاغلر
Sağlık,zeao1lfo2,صاغلق
Sağman,zeao1mebo1,صاغمان
Sağra,bo3ao1rh,ثغره
Sağun,zeao1wbo1,صاغون
Sağın,zeao1bo1,صاغن
Sağınç,zeao1ybo1xu3,صاغینچ
Sağıroğlu,zeao1yr ewao1ly,صاغیر اوغلی
Sağıt,zeao1ybo2,صاغیت
Seba,sbu1e,سبا
Sebahat,sbu1exbo2,سباحت
Sebahattin,zbu1ex eldybo1,صباح الدین
Sebat,bo3bu1ebo2,ثبات
Sebati,bo3bu1ebo2y,ثباتی
Seben,sbu1bo1,سبن
Sebih,sbu1yx,سبیح
Sebil,sbu1yl,سبیل
Sebile,sbu1ylh,سبیله
Seblâ,sbu1le,سبلا
Sebu,sbu1w,سبو
Sebük,sbu1k,سبک
Sebük,sbu1wfo2,سبوق
Sebükalp,sbu1wfo2 eo6lbu3,سبوق آلپ
Sebüktekin,sbu1wfo2 bo2kybo1,سبوق تکین
Secahat,sxu1exbo2,سجاحت
Seda,sde,سدا
Seda,zde,صدا
Sedanur,sdebo1wr,سدانور
Sedat,sded,سداد
Sedef,zdfo1,صدف
Seden,sdbo1,سدن
Sedit,sdyd,سدید
Sefa,sfo1e,سفا
Sefa,zfo1e,صفا
Sefer,sfo1r,سفر
Seferihisar,sfo1rbu2xzer,سفريحصار
Seferî,sfo1ry,سفری
Seha,sxo1e,سخا
Sehavet,sxo1ewbo2,سخاوت
Seher,sxr,سحر
Sehergül,sxrko7l,سحرگل
Sehernaz,sxrbo1ero1,سحرناز
Sehhar,sxer,سحار
Sehhare,sxerh,سحاره
Sehi,shy,سهی
Sehran,shrebo1,سهران
Sekine,skybo1h,سکینه
Sekmen,skmbo1,سکمن
Sel,sl,سل
Sel,syl,سیل
Selahattin,zlex eldybo1,صلاح الدین
Selamoğlu,slem ewao1ly,سلام اوغلی
Selay,sley,سلای
Selcan,slxu1ebo1,سلجان
Selcen,slxu1bo1,سلجن
Selda,slde,سلدا
Seldağ,sldeao1,سلداغ
Selek,slk,سلک
Selekler,slklr,سلکلر
Selekman,slkmebo1,سلکمان
Selekmen,slkmbo1,سلکمن
Selen,slbo1,سلن
Seler,slr,سلر
Selgil,slko7yl,سلگیل
Selgüç,slko7wxu3,سلگوچ
Selhan,slxo1ebo1,سلخان
Selim,slym,سلیم
Selime,slymh,سلیمه
Selin,slybo1,سلین
Selkan,slfo2ebo1,سلقان
Selma,slme,سلما
Selman,slmebo1,سلمان
Selmen,bo3lmbo1,ثلمن
Selmen,bo3lmh ko3,ثلمه ڭ
Selmen,slmbo1,سلمن
Selmi,slmy,سلمی
Selmin,slmybo1,سلمین
Selnur,slbo1wr,سلنور
Selo,slw,سلو
