Abayhan,آبایخان
Altıner,آلتون أر
Altınhan,آلتون خان
Altınkaya,آلتون قایا
Altınkılıç,آلتون قیلیچ
Altınok,آلتون اوق
Altınöz,آلتون اوز
Altınsoy,آلتون صوی
Altıntaş,آلتون طاش
Altıntop,آلتون طوپ
Altıntuğ,آلتون طوغ
Altoğan,آلطوغان
Altop,آلطوپ
Altuğ,آلطوغ
Altuna,آلطونه
Altunay,آلتون آی
Altunbaş,آلتون باش
Altunçağ,آلتون چاغ
Altunç,آلطونچ
Altuner,آلتون أر
Altunhan,آلتون خان
Altun,آلتون
Altuntaş,آلتون طاش
Amaç,آماج
Amanullah,امان الله
Amil,آمل
Amil,عامل
Amir,عامر
Amir,آمیر
Anadolu,آناطولی
Ançıbay,آنچیبای
Ancı,آنجی
Andak,آنداق
Andiç,آندیچ
Andıç,آندیچ
Angıl,آنغیل
Angı,آنغی
Angış,آنغیش
Angıt,آنغیت
Angıt,آنغیط
Anık,آنیق
Anıl,آڭیل
Anı,آنی
Anıt,آڭت
Anlı,آڭلی
Annak,آنناك
Annak,آنناق
Ant,آند
Apakhan,آپاقخان
Apak,آپاق
Apa,آپا
Apaydın,آپایدین
Aracı,آراجی
Arafat,عرفات
Aras,آراس
Aras,اعراس
Aras,عرس
Arat,عرات
Arbaş,آرباش
Arbay,آربای
Arbek,آربك
Arcan,آرجان
Arca,آرجا
Ardahan,آرداخان
Arda,آردا
Arda,آرده
Arda,آرضه
Ardemir,آردمیر
Ardıç,آردیچ
Ardıl,آردیل
Arel,آرل
Arer,آرر
Arer,آرأر
Argın,آرغین
Arguç,آرغوچ
Argüden,آرگودن
Argüder,آرگودر
Argün,آرگون
Argu,آرغو
Arhan,آرخان
Arıbal,آری بال
Arıbaş,آری باش
Arıboğa,آری بوغه
Arıca,آریجا
Arıer,آری أر
Arif,عارف
Arığ,آریغ
Arıhan,آری خان
Arıkal,آریكال
Arıkan,آریقان
Arıkboğa,آریقبوغه
Arıker,آریق أر
Arıkhan,آریقخان
Arıkiz,آریكیز
Arik,آریك
Arık,آریق
Arıkol,آریقول
Arıkut,آریقوت
Arıl,آریل
Arıman,آریمان
Arınık,آرینیق
Ari,آری
Arısal,آریسال
Arısan,آری سان
Arış,آریش
Arısoy,آریصوی
Arıtan,آریتان
Arıtaş,آریطاش
Arıyüz,آرییوز
Arkadaş,آرقاداش
Arkan,عرقان
Arkış,آرقیش
Arkoç,آرقوچ
Arkun,آرقون
Arkut,آرقوت
Arlan,آرلان
Arna,آرنا
Arol,آرول
Arpad,آرپاد
Arpağ,آرپاغ
Arpak,آرپاق
Arpınar,آرپیڭار
Arsan,آرسان
Arslaner,آرسلانر
Arslan,آرسلان
Arsoy,آرصوی
Artaç,آرتاج
Artam,آرتام
Artan,آرتان
Artuç,آرتوچ
Artuk,آرتوق
Artunç,آرطونچ
Artun,آرتون
Artut,آرتوت
Arukan,آروقان
Aryüz,آریوز
Arzık,آرزیق
Asaf,آصف
Asal,آسال
Asan,آسان
Aşan,آشان
Aşcır,آشجیر
Asıf,عسیف
Aşık,عشق
Âşık,عاشق
Asil,اصیل
Asil,عسیل
Asım,عاصم
Aşir,آشیر
Aşır,آشیر
Aşkan,آشقان
Aşkınay,آشقینای
Aşkıner,آشقن أر
Aslaner,آسلان أر
Aslanhan,آسلانخان
Aslan,آسلان
Aslıbey,آصلی بگ
Asri,عصری
Asutay,آسوتای
Ataan,آتاان
Atabay,آتابای
Atabek,آتابگ
Atabey,آتابگ
Atabörü,آتابورو
Atacan,آته جان
Ataç,آتاچ
Atadan,آتا دان
Ataergin,آته أرگین
Atagün,آتاگون
Atahan,آتاخان
Atakan,آتاقان
Ataker,آتاق أر
Atak,آتاق
Atakul,آتاقول
Atakurt,آتاقورت
Atakut,آتاقوت
Atalan,آتالان
Atalay,آتالای
Atalmış,آتالمیش
Ataman,آتامان
Atambay,آتامبای
Atamer,آتامر
Atamtürk,آتامتورك
Ataner,آتانر
Ata,آتا
Ata,عطا
Ataol,آتا اول
Ataöv,آتااوو
Atasagun,آتاساغون
Atasan,آتاسان
Atasay,آتاسای
Ataseven,آتاسون
Atasever,آتاسور
Atasevin,آتاسوین
Atasev,آتاسو
Atasoy,آتاصوی
Atasü,آتاسو
Atatöre,آتاتوره
Atatuğ,آتاتوغ
Atatüre,آتاتره
Atatürk,آتاتورك
Ataullah,اعطاءالله
Ataün,آتااوڭ
Atay,آتای
Ateş,آتش
Atfi,عاطفی
Atgun,آتغون
Atıf,عاطف
Atik,عتیق
Atila,آتیله
Atılgan,آطیلغان
Atilla,آتیللا
Atıl,عاطل
Atlan,آتلان
Atlığ,آتلیغ
Atlıhan,آتلیخان
Atlı,آتلی
Atmaca,آتماجه
Atom,آتوم
Attila,آتتیلا
Atuf,عطوف
Avar,آوار
Avar,عوار
Avcı,آوجی
Avhan,آوخان
Avkan,آوقان
Avni,عونی
Avşar,آوشار
Ayalp,آی آلپ
Ayanç,آیانچ
Ayata,آیاتا
Ayaydın,آیآیدین
Ayaz,آیاز
Aybar,آیبار
Aybars,آیبارس
Aybaş,آیباش
Aybay,آیبای
Aybek,آیبگ
Ayberk,آیبرق
Aybey,آیبگ
Ayboğa,آیبوغه
Aybora,آیبورا
Ayçetin,آیچتین
Aycihan,آیجهان
Aycıl,آیجیل
Aydemir,آیدمیر
Aydınalp,آیدین ألپ
Aydınbay,آیدینبای
Aydınbey,آیدینبگ
Aydınel,آیدین ال
Aydıner,آیدین ار
Aydın,آیدین
Aydınol,آیدین اول
Aydıntan,آیدینتان
Aydıntuğ,آیدینتوغ
Aydınyol,آیدین یول
Aydoğan,آیطوغان
Aydoğdu,آیطوغدی
Aydoğmuş,آیطوغمش
Aydonat,آیدونات
Ayet,آیت
Ayetullah,آیةالله
Aygüner,آیگونر
Aygutalp,آیغوت آلپ
Aygut,آیغوت
Ayık,آییق
Aykaç,آیقاچ
Aykın,آیقین
Aykul,آیقول
Aykurt,آیقورت
