Abayhan,آبایخان
Cevher,جوهر
Cevval,جوال
Ceyhan,جیحان
Ceyhun,جیحون
Çığır,چیغیر
Cihan,جهان
Cihannur,جهان نور
Çınar,چینار
Çinel,چینل
Çolpan,چولپان
Dal,دال
Danış,دانش
Değer,دگر
Deha,دها
Denizhan,نڭیزخان
Deniz,دڭیز
Deren,درن
Derin,درین
Derman,درمان
Derya,دریا
Devin,دوین
Devlet,دولت
Devran,دوران
Devrim,دوریم
Dikmen,دیكمن
Diler,دیلر
Dilge,دیلگه
Dilmen,دیلمن
Dinçay,دینچای
Dinçel,دینچل
Dirlik,دیرلك
Doğanay,طوغانای
Doğa,طوغا
Doğu,طوغی
Dölen,دولن
Dolunay,طولونای
Dolun,طولون
Durdu,طوردی
Durdu,دوردو
Duru,طورو
Duru,دورو
Duygu,طویغو
Duygu,دویغو
Ecehan,اجه خان
Ece,اجه
Ecer,اجر
Ecmel,اجمل
Ediz,ادیز
Efdal,افدال
Eflâtun,افلاطون
Efser,افسر
Egemen,اگه من
Ege,اگه
Ekim,اكیم
Ekin,اكین
Elçin,الچین
Eldem,الدم
Elgin,الگین
Elvan,الوان
Emanet,امانت
Emek,امك
Emsal,امثال
Ender,اندر
Enginay,انگینای
Enginiz,انگینیز
Engin,انگین
Enginsu,انگین صو
Eray,أرای
Erbay,أربای
Erbil,اربیل
Erdenay,أردنای
Erden,أردن
Erdi,أردی
Erel,أرل
Erem,أرم
Erenay,أرنای
Erendiz,أرندیز
Eren,ارن
Ergülen,ارگولن
Ergüler,ارگولر
Ergül,ارگول
Ergün,ارگون
Erim,أریم
Erinç,أرینچ
Erin,أرین
Eriş,أریش
Erke,اركه
Erkin,اركین
Erten,ارتن
Erzan,ارزان
Esendal,اسن دال
Esen,اسن
Eser,اسر
Eser,اثر
Esim,اسیم
Esim,اثیم
Esin,اسین
Eşmen,اشمن
Evcan,أوجان
Evcil,أوجیل
Evcimen,أوجیمن
Evren,أورن
Evrim,أوریم
Eylül,ایلول
Ezel,ازل
Fedakâr,فداكار
Feda,فدا
Fehamet,فهامت
Fehamet,فخامت
Felek,فلك
Ferah,فراح
Feray,فرای
Ferda,فردا
Ferhan,فرخان
Feyha,فیحی
Feyman,فیمان
Feyzan,فیضان
Feyzan,فیضاڭ
Feza,فزا
Feza,فضا
Fikret,فكرت
Gazal,غزال
Gazel,غزل
Gediz,گدیز
Gencay,گنجای
Gençay,گنچای
Göğem,گوگم
Gökay,گوكای
Gökçek,گوكچك
Gökçel,گوكچل
Gökcen,گوكجن
Gökçen,گوكچن
Gökçe,گوكچه
Gökçin,گوكچین
Göknur,گوكنور
Göksal,گوكسال
Göksal,گوكصال
Göksel,گوكسل
Göksen,گوكسن
Gökşen,گوكشن
Göksev,گوكسو
Gökşin,گوكشین
Göksun,گوكصون
Göksu,گوكصو
Gönenç,گوننچ
Görkemli,گوركملی
Görkem,گوركم
Görklü,گوركلو
Gözem,گوزم
Güldoğan,گول طوغان
Güleç,گولچ
Gülergin,گولرگین
Gülergün,گولرگون
Gülhan,گلخان
Gülsoy,گلصوی
Gültan,گلتان
Gümüş,گوموش
Günaç,گوناچ
Günal,گونال
Günan,گونان
Günaydın,گونایدین
Günay,گونای
Gündal,گوندال
Günden,گوندن
Gündüz,گوندوز
Günel,گونل
Güner,گونر
Güneş,گونش
Güney,گونی
Güngören,گونگورن
Güngör,گونگور
Günhan,گونخان
Güniz,گونیز
Günkut,گونقوت
Gün,گون
Gün,كون
Günnur,گوننور
Günsel,گونسل
Günşen,گونشن
Günser,گونسر
Günşıray,گونشیرای
Güntan,گونتان
Güntülü,گونتولو
Günver,گونور
Güray,گورای
Gürbüz,گوربوز
Gürsel,گورسل
Gürsu,گورصو
Güvenç,گوونچ
Güven,گوون
Hakikat,حقیقت
Haktan,حقتان
Hâlet,حالت
Hanzade,خانزاده
Hasret,حسرت
Hayran,حیران
Hayret,حیرت
Heyecan,هیجان
Hicret,هجرت
Hidayet,هدایت
Hikmet,حكمت
Hilâlî,هلالی
Hilkat,خلقت
Hüdaver,هدی ویر
Hüray,حورای
Hürcan,حرجان
Hürkan,حرقان
Hürmet,حرمت
Hürriyet,حریت
Hürsel,حرسل
Huzur,حضور
İçli,ایچلی
İçten,ایچتن
İffet,عفت
İhsan,احسان
İhya,احیی
İhya,احیا
İkbal,اقبال
İklim,اقلیم
İkram,اكرام
İlbilge,ایلبیلگه
İldeniz,ایلدڭیز
İldeş,ایلدش
Ildır,ایلدیر
Ildız,ایلدیز
Ilgaz,ایلغاز
Ilgım,ایلغیم
İlgin,ایلگیڭ
Ilgın,ایلغین
İlgi,ایلگی
İlgün,ایلگون
İlgü,ایلگو
Ilıcan,ایلیجان
İlkay,ایلكای
İlke,ایلكه
İlkim,ایلكیم
İlkin,ایلكین
İlkiz,ایلكیز
İlsu,ایلصو
İlter,ایلتر
İmer,ایمر
İmren,ایمرن
İnal,اینال
İnanç,اینانچ
İnan,اینان
İnayet,عنایت
İnce,اینجه
İnkılâp,انقلاب
İrfan,عرفان
Irmak,ایرماق
Işık,ایشیق
Işılar,ایشیلار
Işıltan,ایشیلتان
Işıltı,ایشیلتی
Işın,ایشین
Işınsu,ایشینصو
Işıtan,ایشیتان
İsmet,عصمت
İstikbAl,استقبال
İstiklâl,استقلال
İyem,اییم
İyimser,اییمسر
İzem,ایزم
İzgi,ایزگی
Kadam,قدام
Kadem,قدم
Kader,قدر
Kâmran,كامران
Kâmuran,كاموران
Karaca,قره جه
Karagöz,قره گوز
Kayan,قایان
Kayansel,قایانسل
Kayra,قایرا
Keramet,كرامت
Kevkep,كوكب
Kibar,كبار
Kısmet,قسمت
Kıvanç,قیوانچ
Kıvılcım,قیویلجیم
Köksal,كوكسال
Korel,قورل
Kösemen,كوسم
Koyaş,قویاش
Kudret,قدرت
Kutay,قوتای
Maral,مرال
Melûl,ملول
Mengü,منگو
Meriç,مریچ
Merih,مریخ
Mesut,مسعود
Mihrican,مهرجان
Mihri,مهری
Mircan,میرجان
Mirhan,میرخان
Moray,مورای
Muammer,معمر
Müesser,مئثر
Müeyyet,موید
Müferrih,مفره
Müferrih,مفرح
Muhterem,محترم
Muhteşem,محتشم
Mukadder,مقدر
Mükerrem,مكرم
Müren,مورن
Müşerref,مشرف
Mutahhar,مطهر
Muteber,معتبر
Mutluay,موتلوآی
Mutlu,موتلو
Muvakkar,موقر
Muzaffer,مظفر
Nasip,نصیب
Nazik,نازك
Necat,نجات
Nedret,ندرت
Nefis,نفیس
Nemutlu,نه موتلو
Neşat,نشاط
Nevcivan,نوجوان
Nevres,نورس
Nevruz,نوروز
Nevzat,نوزاد
Nida,ندا
Nihayet,نهایت
Nilhan,نیلخان
Nimet,نعمت
Nisan,نیسان
Niyaz,نیاز
Nural,نورال
Nuray,نورای
Nurcan,نورجان
Nurcihan,نورجهان
Nurdağ,نورداغ
Nurdal,نوردال
Nurdan,نوردان
Nurdoğan,نورطوغان
Nurel,نورأل
Nurhan,نورخان
Nurkan,نورقان
Nurkut,نورقوت
Nur,نور
Nurol,نورول
Nuröz,نوروز
Nursal,نورسال
Nursan,نورسان
Nursel,نورسل
Nurtaç,نورتاج
Nurtop,نورتوپ
Nurver,نورویر
Nusret,نصرت
Nüvit,نووید
Nüzhet,نزهت
Ödül,اودول
Oflaz,اوفلاز
Öge,اوگه
Öget,اوگت
Öğün,اوگون
Oguş,اوغوش
Öğüş,اوگوش
Öğüt,اوگوت
Öke,اوكه
Okşan,اوقشان
Okyanus,اوقیانوس
Olca,اولجا
Olcay,اولجای
Olgun,اولغون
Ölmez,اولمز
Oluş,اولوش
Ömürcan,عمرجان
Ömürcan,اومورجان
Ömür,عمر
Önal,اونال
Onat,اونات
Onay,اونای
Önay,اونای
Öncel,اونجل
Önder,اوڭدر
Önder,اوندر
Öner,اونر
Öney,اونی
Öngül,اونگول
Öniz,اونیز
Onur,اونور
Ören,اورن
Orman,اورمان
Örnek,اورنك
Örün,اورون
Oskay,اوسقای
Övgü,اووگو
Övül,اوول
Övünç,اوونچ
Övün,اوگون
Övün,اوون
Oytun,اویتون
Özak,اوزاق
Özal,اوزال
Özaltan,اوزالتان
Özaltın,اوزآلتین
Özan,اوزان
Özaydın,اوزآیدین
Özay,اوزای
Özbal,اوزبال
Özbek,اوزبك
Özben,اوزبن
Özbilek,اوزبیلك
Özbilen,اوزبیلن
Özbilge,اوزبیلگه
Özbilir,اوزبیلیر
Özbil,اوزبیل
Özcan,اوزجان
Özdal,اوزدال
Özdener,اوزدنر
Özden,اوزدن
Özdeş,اوزدش
Özdilek,اوزدیلك
Özel,اوزل
Özenç,اوزنچ
Özen,اوزن
Özer,اوزر
Özgen,اوزگن
Özge,اوزگه
Özgüneş,اوزگونش
Özgün,اوزگون
Özgü,اوزگو
Özgür,اوزگور
Özil,اوزیل
Özinan,اوزاینان
Özkut,اوزقوت
Özlen,اوزلن
Özler,اوزلر
Özlü,اوزلو
Özmen,اوزمن
Öznur,اوزنور
Özpetek,اوزپتك
Özpınar,اوزپیڭار
Özsan,اوزسان
Özselen,اوزسلن
Özsel,اوزسل
Özsevi,اوزسوی
Özsu,اوزصو
Öztuna,اوزطونه
Özüm,اوزوم
Özün,اوزون
Özveri,اوزوری
Özyurt,اوزیورد
Pak,پاك
Pamir,پامیر
Rahmet,رحمت
Rahşan,رخشان
Refet,رئفت
Refhan,رفهان
Reha,رخا
Reha,رها
Renan,رنان
Revan,روان
Reviş,رویش
Reyyan,ریان
Rezin,رزین
Risalet,رسالت
Rüçhan,رجخان
Ruhsat,رخصت
Ruşen,روشن
Rüzgâr,روزگار
Sabah,صباح
Saba,صبا
Sabbar,صبار
Sabir,صبیر
Şadan,شادان
Sada,صدا
Şadıman,شادمان
Şafak,شافاق
Safa,صفا
Saffet,صفت
Şahamet,شحامت
Sahil,ساحل
Sahil,صاحل
Şakar,شاقار
Saltan,سلطان
Samur,سمور
Sanal,سانال
Şanal,شانال
Sanay,صانای
Şan,شان
Şansal,شانسال
Sargın,صارغین
Satı,صتی
Şayan,شایان
Saydam,صایدام
Şayeste,شایسته
Saygın,صایغین
Saygı,صایغی
Saygun,صایغون
Sayıl,صاییل
Sayın,صایین
Şaylan,شایلان
Sebat,ثبات
Sebil,سبیل
Seçkin,سچكین
Seda,سدا
Seda,صدا
Şefaat,شفاعت
Sefa,سفا
Sefa,صفا
Sefer,سفر
Şefkat,شفقت
Seha,سخا
Selâmet,سلامت
Selcen,سلجن
Selçuk,سلچوق
Selen,سلن
Selhan,سلخان
Selışık,سل ایشیق
Selvihan,سلویخان
Selvi,سلوی
Semahat,سماحت
Sena,ثنا
Şenay,شنای
Şencan,شنجان
Şendoğan,شن طوغان
Şengeldi,شنگلدی
Şengil,شنگیل
Şengül,شنگول
Şengün,شنگون
Şeniz,شنیز
Şenkal,شنقال
Şen,شن
Şenol,شنول
Sercan,سرجان
Şeref,شرف
Seren,سرن
Serin,سرین
Sermet,سرمد
Sertaç,سرتاج
Sertap,سرتاب
Servet,سروت
Servi,سروی
Sevan,سوان
Sevay,سوای
Sevcan,سوجان
Seven,سون
Sever,سور
Sevgen,سوگن
Sevgür,سوگور
Sevinç,سوینچ
Sevin,سوین
Sevkal,سوقال
Sevkan,سوقان
Şeyda,شیدا
Seyhan,سیخان
Seylân,سیلان
Seyran,سیران
Sezal,سزال
Sezek,سزك
Sezen,سزن
Sezer,سزر
Sezgen,سزگن
Sezginay,سزگینای
Sezgin,سزگین
Sezgi,سزگی
Sezin,سزین
Sıla,صله
Siret,سیرت
Şölen,شولن
Somay,صومای
Sonat,صونات
Sonat,صوڭات
Sonay,صونای
Sonay,صوڭای
Sönmezay,سونمزای
Sönmez,سونمز
Sonsuz,صوڭسز
Sonsuz,صونسز
Sonuç,صونوچ
Soyhan,صویخان
Soykan,صویقان
Sözen,سوزن
Suat,سعاد
Suay,صوآی
Şükran,شكران
Sultan,سلطان
Sumer,صومر
Sümer,سومر
Sunar,صونار
Sunay,صونای
Sungu,صونغو
Sun,صون
Su,صو
Süreyya,ثریا
Taç,تاج
Taflan,طافلان
Talât,طلعت
Tamay,تامای
Tanal,تانال
Tanal,طاڭال
Tanaydın,تانیدین
Tanaydın,طاڭایدین
Tanay,تانای
Taner,تانر
Tangör,تانگور
Tangün,تانگون
Tanju,تانژو
Tanju,طانژو
Tankut,تانقوت
Tan,تان
Tan,طاڭ
Tansel,تانسل
Tanser,تانسر
Tansev,تانسو
Tansu,طانصو
Tanyeli,تانیلی
Tanyel,تانیل
Tanyeri,تانیری
Tanyeri,طاڭیری
Tanyer,تانیر
Tanyıldız,طاڭییلدیز
Tanyıldız,تانییلدیز
Tanyol,تانیول
Tanyolu,تانیولو
Tanyu,تانیو
Tanyüz,تانیوز
Tanzer,تانزر
Tarım,تارم
Taşan,طاشان
Tatu,طاطو
Taylan,تایلان
Tecelli,تجلی
Tecer,تجر
Teksen,تكسن
Telek,تلك
Telli,تلی
Temiz,تمیز
Tendü,تندو
Tercan,ترجان
Terim,تریم
Tezay,تزای
Tezcan,تزجان
Tezel,تزل
Tezer,تزر
Tezkan,تزقان
Titiz,تیتیز
Tola,طولا
Tola,طوله
Tolgunay,طولغونای
Topay,طوپای
Toprak,طوپراق
Töre,توره
Tuğyan,طوغیان
Tuhfe,تحفه
Tulû,طلوع
Tulû,تولو
Tümay,تومای
Tümcan,تومجان
Tunahan,طوناخان
Tuna,طونا
Tünaydın,تونایدین
Tünay,تونای
Tunca,تونجه
Tuncay,تونجای
Turaç,طوراچ
Türkay,توركای
Türker,توركر
Türkiz,توركیز
Türkmen,توركمن
Türksel,توركسل
Tutkun,طوتغون
Tutku,طوتقو
Tuvana,طووانه
Tüzel,توزل
Tüze,توزه
Tüzüner,توزونر
Tüzünkan,توزونقان
Tüzün,توزون
Tüzüntürk,توزونتورك
Üçel,اوچ ال
Üçışık,اوچ ایشیق
Uçkun,اوچقون
Uçmak,اوچماق
Uçur,اوچور
Ufukay,اوفوقای
Ufuk,اوفق
Uğan,اوغان
Üge,اوگه
Uğuray,اوغورای
Uğurcan,اوغورجان
Uğurlu,اوغورلو
Uğur,اوغور
Uğursal,اوغورسال
Uğursel,اوغورسل
Uğursoy,اوغورصوی
Uğurtan,اوغورتان
Uğuş,اوغوش
Ulcay,اولجای
Ülfet,الفت
Ülgen,اولگن
Ülger,اولگر
Ülker,اولكر
Ülküdeş,اولكودش
Ulunay,اولونای
Ulun,اولون
Ulun,علون
Umar,اومار
Ümit,اومید
Umman,عمان
Umran,عمران
Ümran,عمران
Umutlu,اوموتلی
Umut,اوموت
Ünal,اونال
Ünay,اونای
Ünlü,اونلو
Ünsaç,اونساچ
Ünsal,اونسال
Ünseven,اونسون
Ünsever,اونسور
Ünsev,اونسو
Ünübol,اونوبول
Ünver,اونور
Ürün,اورون
Uslu,اوصلو
Utku,اوتقو
Uygur,اویغور
Uysal,اویسال
Uzay,اوزای
Vâlâ,والا
Varlık,وارلیق
Vefa,وفا
Vesamet,وسامت
Vesamet,وثامت
Vicdan,وجدان
Yada,یادا
Yadigâr,یادگار
Yağan,یاغان
Yağmur,یاغمور
Yahşi,یخشی
Yakut,یاقوت
Yalav,یالاو
Yalazan,یالازان
Yalazay,یالازای
Yalçuk,یالچوق
Yalınay,یالینای
Yalın,یالین
Yaltırak,یالطیراق
Yaltırak,یالتیراق
Yaltıray,یالتیرای
Yaltıray,یالدیرای
Yankı,یانقی
Yaraşık,یاراشیق
Yarkın,یارقین
Yaşam,یاشام
Yaşanur,یاشانور
Yaşar,یاشار
Yaşık,یاشیق
Yaşın,یاشین
Yayla,یایلا
Yekta,یكتی
Yener,ینر
Yeşil,یشیل
Yeşne,یشنه
Yeter,یتر
Yetkin,یتكین
Yıldızhan,ییلدیزخان
Yıpar,ییپار
Yönal,یونال
Yosun,یوصون
Yücelen,یوجه لن
Yücel,یوجل
Yüce,یوجه
Yüksel,یوكسل
Yurdakul,یورداقول
Yurdanur,یوردانور
Yurdaşen,یورداشن
Yurdusev,یوردوسو
Yurt,یورد
Yurtsan,یوردسان
Yurtseven,یوردسون
Yurtsever,یوردسور
Yurtsev,یوردسو
Zafer,ظافر
Zafer,طفر
Zarif,ظریف
Zeren,زرن
Zişan,زیشان
Ziver,زیور
Abacan,آباجان
Abaca,آباجه
Abaç,اباچ
Aba,عبا
Aba,آبا
Abaza,آبازا
Abgül,آبگول
Abher,عبهر
Abide,آبده
Abide,عابده
Abiha,آبیحه
Abıhayat,آب حیات
Abıru,آبیرو
Abiye,آبیه
Abruy,آبروی
Açalya,آچالیه
Açangül,آچانگل
Aça,آچا
Acarbegüm,آجاربگوم
Acarbike,آجاربیكه
Acarbüke,آجاربوكه
Acarhatun,آجارخاتون
Acarkatun,آجارقاتون
Açelya,آچلیه
Açılay,آچیلای
Açkıngül,آچقینگل
Acunbegim,آجونبگیم
Acunbegüm,آجونبگوم
Acunbike,آجونبكه
Acunbüke,آجونبوكه
Acungüneş,آجونگونش
Acunışık,آجون ایشیق
Adalet,عدالت
Adeviye,عدویه
Adile,عدیله
Adışah,آدیشاه
Adniye,عدنیه
Adviye,عدویه
Afet,اعفت
Afet,آفت
Afife,عفیفه
Afi,عفی
Afi,آفی
Afitap,آفتاب
Afiye,عافییه
Afiyet,عافیت
Afra,آفرا
Afra,عفرا
Ağahanım,آغاخانم
Ağahatun,آغاخاتون
Ağakatun,آغاقاتون
Ağanbegim,آغانبگیم
Ağanbegüm,آغانبگوم
Ağanbike,آغانبیكه
Ağanbüke,آغانبوكه
Ağbacı,آغباجی
Ağbegim,آغبگیم
Ağbegüm,آغبگوم
Ağbet,آغبت
Ağbilek,آغبیلك
Ağça,آغچه
Ağgül,آغگل
Ağkız,آغقیز
Aguş,آغوش
Ahenk,آهنك
Ahu,آخو
Aişe,عائشه
Ajda,اژدا
Akbacı,آقباجی
Akçagül,آقچاگل
Akçiçek,آقچیچك
Akdolun,آقطولون
Akgül,آقگل
Akhanım,آقخانم
Akibe,عاقبه
Akide,عقیده
Akife,عاكفه
Akile,آكله
Akinci,آق اینجی
Akipek,آق ایپك
Akkadın,آققادین
Akkar,آققار
Akkız,آققیز
Akkor,آققور
Akkutlu,آققوتلو
Akmaral,آقمارال
Ak,آق
Aknur,آقنور
Akol,آقول
Aksarı,آقصاری
Aksen,آقسن
Akseven,آقسون
Aksevil,آقسویل
Aksülün,آقسولون
Aksuna,آقصونا
Aktolun,آقطولون
Akyipek,آقییپك
Alabegim,آلابگیم
Alabegüm,آلابگوم
Alabezek,آلابزك
Alageyik,آلاگییك
Alagöz,آلاگوز
Alagün,آلاگون
Alakız,آلاقیز
Alangoya,آلانغویه
Alanur,آلانور
Alapınar,آلاپیڭار
Alara,آلارا
Alayunt,آلایونت
Albeni,آلبنی
Alçiçek,آلچیچك
Alçin,آلچین
Aldeniz,آلدڭز
Alemşah,علمشاه
Âlemtap,عالمتاب
Alevnaz,آلوناز
Alev,آلو
Algış,آلغیش
Algül,آلگل
Alika,علیقه
Alime,علیمه
Alımlı,آلیملی
Alım,آلیم
Alıncak,آلینجاق
Alipek,علی پك
Alisa,آلیسه
Alise,آلیسه
Alışın,آلیشڭ
Aliye,عالیه
Alköz,آلكوز
Allıkız,آللیقیز
Allı,آللی
Almabanu,آلمابانو
Almagül,آلماگل
Almila,آلمیلا
Almile,آلمیله
Almula,آلموله
Alpnur,آلپنور
Alsevin,آلسوین
Alsu,آلصو
Altınbaşak,آلتینباشاق
Altınbike,آلتینبیكه
Altınçiçek,آلتینچیچك
Altındal,آلتیندال
Altıngül,آلتینگل
Altınhanım,آلتینخانم
Altınhatun,آلتینخاتون
Altınkız,آلتینقیز
Altınnur,آلتیننور
Altınsaç,آلتینصاچ
Altuncan,آلتونجان
Alyipek,آلییپك
Amber,عنبر
Amile,عامله
Amine,آمینه
Amiran,آمیران
Amire,آمره
Amire,عامره
Amre,عمره
Anabacı,آنه باجی
Anabörü,آنه بورو
Anahanım,آنه خانم
Anahanım,Anakadın
Anahanım,آنه قادین
Anakız,آنه قیز
Anargül,آڭارگل
Anargül,آنارگل
Anar,آڭار
Anar,آنار
Anber,عنبر
Anka,عنقا
Arefe,عرفه
Argana,آرغه نه
Arife,عرگه
Arkay,آرقای
Armanç,آرمانچ
Arukız,آروقیز
Arziye,ارضی یه
Arzugül,آرزوگل
Arzugül,عرضوگل
Arzuhan,آرزوخان
Arzum,آرزوم
Arzu,آرزو
Arzu,عرضو
Asalbegim,آسالبگیم
Asalbegüm,آسالبگوم
Âsan,آسان
Âsan,آصان
Aşa,آشه
Asena,آسه نه
Asfer,آسفر
Asılbanu,اصلبانو
Asile,اصیله
Asile,عسیله
Asılgül,اصل گل
Asıma,عاصمه
Asimegül,آسیمه
Asime,آسیمه
Aşina,آشنا
Asiye,آسیه
Âsiye,آسیه
Aşkım,عشقم
Aslıgül,آصلی گل
Aslım,آصلم
Aslı,آصلی
Aslınur,آصلی نور
Asliye,آصلیه
Asma,آصما
Asude,آسوده
Asuman,آسمان
Asya,آسیه
Asye,آسیه
Atagül,آتاگل
Atıfa,عاطفه
Atıfe,عاطفه
Âtike,عتیقه
Âtik,عتیق
Atime,اطعمه
Atiye,آتیه
Âtiye,آتیه
Atlas,اطلاس
Avniye,عونیه
Ayaba,آیابا
Ayaça,آیاچا
Ayal,آیال
Ayana,آیانه
Ayanfer,آیانفر
Aya,آیا
Ayaşan,آیاشان
Ayasun,آیاصون
Aybala,آیبالا
Aybanu,آیبانو
Aybegim,آیبگیم
Aybegüm,آیبگوم
Aybeniz,آیبڭیز
Ayben,آیبن
Aybet,آیبت
Aybige,آیبیگه
Aybike,آیبیكه
Aybirgen,آیبرگن
Aybir,آیبر
Aybüge,آیبوگه
Aybüke,آیبوكه
Ayçağ,آیچاغ
Aycagül,آیجاگل
Aycahan,آیجاخان
Ayca,آیجا
Ayça,آیچا
Aycennet,آیجنت
Ayceren,آیجرن
Ayçiçek,آیچیچك
Ayçil,آیچیل
Ayçıl,آیچیل
Ayçolpan,آیچولپان
Ayçulpan,آیچولپان
Aydagül,آیداگل
Aydanarı,آیداناری
Aydan,آیدان
Ayda,آیدا
Aydanur,آیدانور
Aydenk,آیدنك
Aydilek,آیدیلك
Aydil,آیدل
Aydolu,آیطولو
Ayduru,آیطورو
Ayferim,آیفریم
Ayferi,آیفری
Ayfer,آیفر
Aygen,آیگن
Aygerim,آیگریم
Aygök,آیگوك
Aygöl,آیگول
Aygönenç,آیگوننچ
Aygönül,آیگوڭل
Aygüler,آیگولر
Aygülhan,آیگولخان
Aygül,آیگول
Aygümüş,آیگوموش
Aygünkız,آیگونقیز
Aygür,آیگور
Aygüzel,آیگوزل
Ayhanım,آیخانم
Ayhatun,آیخاتون
Ayilkin,آییلكین
Ayımbet,آییمبت
Ayım,آییم
Ayımşa,آییمشا
Ayışığı,آی ایشیغی
Ayışını,آی ایشینی
Aykaş,آیقاش
Aykatun,آیقاتون
Aykız,آیقیز
Aykönül,آیكوڭل
Aykün,آیكون
Ayla,آیلا
Aylanur,آیلانور
Aylin,آیلین
Aymaral,آیمارال
Aymelek,آیملك
Aynagül,آینه گل
Ayna,آینه
Aynıfer,عینیفر
Aynımah,عینیماه
Aynişah,عینیشاه
Aynisa,آینیسا
Ayniye,آینیه
Aynur,آینور
Aypare,آیپاره
Ayperi,آیپری
Aypınar,آیپیڭار
Ayşecan,عائشه جان
Ayşedudu,عائشه دودو
Ayşegül,عائشه گل
Ayşehan,عائشه خان
Ayselen,آیسلن
Aysel,آیسل
Aysema,آیسما
Aysen,آیسن
Ayşen,آیشن
Ayşe,عائشه
Ayşenur,عائشه نور
Ayseren,آیسرن
Aysere,آیسره
Ayser,آیسر
Ayseven,آیسون
Aysevil,آیسویل
Aysevim,آیسویم
Ayşıl,آیشیل
Aysılu,آیصیلو
Aysima,آیسیما
Aysim,آیسیم
Ayşim,آیشیم
Aysine,آیسینه
Ayşin,آیشین
Ayşın,آیشین
Ayşirin,آیشیرین
Ayşöhret,آیشهرت
Aysuda,آیصوده
Aysultan,آیسلطان
Aysuna,آیصونا
Aysunay,آیصونای
Aysun,آیسون
Aysu,آیصو
Ayten,آیتن
Ayterim,آیتریم
Aytirim,آیتیریم
Aytöz,آیتوز
Aytül,آیتول
Aytutkun,آیطوتغون
Ayulduz,آیولوز
Ayülger,آیولگر
Ayülker,آیولكر
Ayver,آی ویر
Ayyalap,آییالاپ
Ayyalın,آییالین
Ayyuca,آییوجه
Ayyüz,آییوز
Ayzıt,آیضید
Ayzühre,آی زهره
Azade,آزاده
Azelya,آزلیا
Azime,عظیمه
Âzime,عاظیمه
Azize,عزیزه
Azmidil,عزمیدل
Azra,عذرا
Azze,عز
Bacı,باجی
Badegül,باده گل
Bade,باده
Badiye,بادیه
Bağdagül,باغده گل
Bağdagül,بعدگل
Bağlan,باغلان
Bahar,بهار
Bâhire,باحره
Bahise,بحیثه
Bahriye,بحریه
Bahtınur,بحتی نور
Bahtışen,بحتی شن
Bahtıser,بحتیسر
Bakinaz,باقی ناز
Bakiye,باقیه
Bakiye,بقیه
Balca,بالجه
Baldan,بالدان
Balın,بالین
Balkın,بالقین
Balkız,بالقیز
Ballı,باللی
Balsarı,بالصاری
Balşeker,بالشكر
Banuhan,بانوخان
Banu,بانو
Baria,باریه
Barika,بارقه
Başak,باشاق
Başçık,باشچیق
Basıra,باصره
Basiret,بصیرت
Basriye,بصرییه
Beder,بدر
Bedia,بدیعه
Bedihe,بدیهه
Bedirnisa,بدرنسا
Bedis,بدیز
Bedreka,بدره قه
Bedriye,بدریه
Begim,بگیم
Begüm,بگوم
Behice,بهیجه
Behin,بهین
Behire,بهیره
Behiye,بهیه
Behnane,بهنانه
Beken,بكن
Belgin,بلگین
Belgi,بلگی
Belik,بلیك
Belin,بلین
Beliz,بلیز
Belkıs,بلقیس
Belma,بلما
Belmen,بلمن
Benay,بنای
Benek,بنك
Benevşe,بنوشه
Bengigül,بنگیگل
Bengi,بنگی
Bengühan,بنگوخان
Bengül,بنگل
Bengü,بنگو
Benian,بنی آڭ
Benice,بنیجه
Benligül,بنلیگل
Benli,بنلی
Bennur,بننور
Bensu,بنصو
Berceste,برجسته
Bercis,برجیس
Berfu,برفو
Bergüzar,برگزار
Beria,بریعه
Beriye,بریه
Berkiye,بركیه
Bermude,برموده
Berna,برنا
Berrak,براق
Berrin,برین
Berşe,برشه
Besamet,بسامت
Beşgül,بشگل
Besime,بسیمه
Beşire,بشیره
Bestegül,بسته گل
Beste,بسته
Betigül,بتی گل
Betil,بتیل
Betülay,بتول آی
Betül,بتول
Beyaz,بیاض
Beyhatun,نگ خاتون
Beylan,بیلان
Beylem,بیلم
Beysun,بیصون
Beyza,بیضا
Bezek,بزك
Bezen,بزن
Bezmiâlem,بزم عالم
Bidar,بیدار
Bidayet,بدایت
Bige,بیگه
Bigüm,بیگوم
Bihan,بهان
Bihine,بهینه
Bihin,بهین
Bihterin,بهترین
Bihter,بهتر
Bike,بیكه
Bilgecan,بیلگه جان
Bilgenur,بیلگه نور
Bilginur,بیلگی نور
Bilgiser,بیلگی سر
Bilgivar,بیلگی وار
Bilgün,بیلگون
Biliş,بیلیش
Billûr,بلور
Billûr,بیللور
Bilsev,بیلسو
Bilsin,بیلسین
Bingül,بینگل
Bingün,بینگون
Binhan,بینخان
Biniz,بینیز
Binnaz,بیڭناز
Binzet,بینزت
Birbenek,بربنك
Birben,بربن
Birçek,برچك
Birgen,برگن
Birgül,برگل
Birgün,برگون
Biricik,بیریجیك
Birim,بیریم
Birke,بركه
Birnaz,برناز
Birnur,برنور
Birsen,برسن
Birtane,برتانه
Birtek,برتك
Bitengül,بیتن گل
Böğürtlen,بوگورتلن
Boncuk,بونجوق
Bozçin,بوزچین
Buğday,بوغدای
Bugül,بوگل
Büke,بوكه
