âbâ,آباء
bast-ı zaman,"بَسْطِ زَمَانْ "
basar,"بَصَرْ "
başvekâlet,"بَاشْ وَكَالَتْ "
batın,بَطِنْ
batman,"بَاطْمَانْ "
battâl,"بَطَّالْ "
câiz,جَائِزْ
câmi',جَامِعْ
câni,جَان۪ي
cârî,"جَار۪ي "
câzibe,جَاذِبَه
cebbâr,"جَبَّارْ "
cebbâr,جَبّاَرْ
cebel-i cudi,جَبَلِ جُودِ
cebin,جَبِينْ
cebir,"جَبِرْ "
cebir,جَبْرْ
cebren,"جَبْرًا "
cebrî,جَبْرِي
cebr-i keyfî,"جَبْرِ كَيْف۪ي "
cebr-i kat'î,"جَبْرِ قَطْع۪ي "
cedvel,جَدْوَلْ
cefâ,جَفَا
cehâlet,"جَهَالَتْ "
cehil,جَهِلْ
cehl-i azîm,جَهْلِ عَظِيمْ
celâl,"جَلَالْ "
celâlî,"جَلَال۪ي "
celb,جَلْبْ
celb-i dikkat,"جَلْبِ دِقَّتْ "
celîl,جَلِيلْ
cem',"جَمْعْ "
cem',جَمْعْ
cemâdât,"جَمَادَاتْ "
cemâl,جَمَالْ
cemâlî,"جَمَال۪ي "
cemâl-i kemâl,"جَمَالِ كَمَالْ "
cemâl-i mutlak,جَمَالِ مُطْلَقْ
cemâl-i rahmet,جَمَالِ رَحْمَتْ
cemâl-i sûret,جَمَالِ صُورَتْ
cemâat-i müslimîn,جَمَاعَتِ مسلمين
cemâat-i uzmâ,"جَمَاعَتِ عُظْمَا "
cemâat-i azîme,جَمَاعَتِ عَظ۪يمَه
cemîl,"جَم۪يلْ "
cemîl-i zülcelâl,"جَم۪يلِ ذُوالْجَلَالْ "
cem'iyet,"جَمْعِيَتْ "
cenâb-ı hak,جَناَبِ حَقْ
cenâb-ı hakîm-i rahîm,"جَنَابِ حَك۪يمِ رَح۪يمْ "
cenâh,"جَنَاحْ "
cerbeze,"جَرْبَزَه "
cereyân,"جَرَيَانْ "
cereyân,جَرَيَانْ
cereyân-ı dalâlet,جَرَيَانِ ضَلاَلَتْ
cerh,"جَرْحْ "
cerîde,"جَر۪يدَه "
cerîha,"جَر۪يحَه "
cesâmet,"جَسَامَتْ "
cesed-i misâlî,جَسَدِ مِثَالِي
cesed-i necmî,جَسَدِ نَجْمِي
cesîm,"جَس۪يمْ "
cevâb-ı müskit,جَوَابِ مُسْكِتْ
cevâhir,جَوَاهِرْ
cevâz,"جَوَازْ "
cevelân,جَوَلَانْ
cevher,"جَوْهَرْ "
cevherî,جَوْهر۪ي
cevher-i ferd,"جَوْهَرِ فَرْدْ "
cevher-i ruh,جَوْهَرِ رُوحْ
cevvâl,"جَوَّالْ "
cevv-i hava,"جَوِّ هَوَا "
cevv-i semâ,"جَوِّ سَمَا "
cezâ,"جَزَا "
cezâ-yı amel,جَزَايِ عَمَلْ
cezb,"جَذْبْ "
cezbe,"جَذْبَه "
cezîre,جَز۪يرَه
cezm,"جَزْمْ "
ceza',جَِزَعْ
cibilliyet,"جِبِلِّيَتْ "
cidâl,"جِدَالْ "
cîfe,جِيفَه
cifir,جِفِرْ
cihet,"جِهَتْ "
cihet-i fark,جِهَتِ فَرْقْ
cihet-i lezzet,جِهَتِ لَذَّتْ
cihet-i vahdet,جِهَتِ وَحْدَتْ
cihangîr,جِهَانْگ۪ير
cilve,جِلْوَه
cilveger,جِلْوَه
