âbâ,آباء
ihtilâl-i rûhî,"اِخْتِلَالِ رُوح۪ي "
ihtilâs,"اِخْتِلَاسْ "
ihtilât,"اِخْتِلَاطْ "
ihtimâm,"اِهْتِمَامْ "
ihtirâ',"اِخْتِرَاعْ "
ihtirâm,"اِحْتِرَامْ "
ihtirâs,اِحْتِرَاصْ
ihtirâz,"اِحْتِرَازْ "
ihtisâr,"اِخْتِصَارْ "
ihtisâs,"اِخْتِصَاصْ "
ihtivâ,"اِحْتِوَا "
ihtiyâc-ı dâhilî,اِحْتِيَاجِ دَاخِل۪ي
ihtiyâc-ı fıtrî,"اِحْتِيَاجِ فِطْر۪ي "
ihtiyâr,"اِخْتِيَارْ "
ihtiyâr-ı beşer,"اِخْتِيَارِ بَشَرْ "
ihtiyârî,"اِخْتِيَار۪ي "
ihtiyât,"اِحْتِيَاطْ "
ihtiyâten,اِحْتِيَاطًا
ihtiyâtkâr,"اِحْتِيَاطْكَارْ "
ihtiyat akçesi,اِحْتِيَاطْ آقْچَه سِي
ihtizâz,"اِهْتِزَازْ "
ihvân,"اِخْوَانْ "
ihanet,اِهَانَتْ
ihyâ,"اِحْيَا "
ihyâ-yı dîn,"اِحْيَايِ دِينْ "
ihyâ-yı arz,اِحْيَايِ اَرْضْ
ihzâr,"اِحْضَارْ "
ikmâl,"اِكْمَالْ "
ikrâh,اِكْرَاهْ
ikrâm-ı rabbânî,اِكْرَامِ رَبَّان۪ي
ikrâr,"اِقْرَارْ "
ikram-ı ilahi,اِكْرَامِ اِلَهِي
iksîr,اِكْسِيرْ
iksîr,"اِكْس۪يرْ "
iksîr-i nurani,"اِكْس۪يرِ نُورَان۪ي "
iktibâs,"اِقْتِبَاسْ "
iktidâr,اِقْتِدَارْ
iktifâ,"اِكْتِفَا "
iktirân,"اِقْتِرَانْ "
iktisâd,"اِقْتِصَادْ "
iktizâ,"اِقْتِضَا "
ilâh-ı vâhid,"اِلٰهِ وَاحِدْ "
i'lâm,"اِعْلَامْ "
i'lâmnâme,"اِعْلَامْنَامَه "
ilhâk,اِلْحَاقْ
ilhâm,"اِلْهَامْ "
ilhâmî,"اِلْهَام۪ي "
ilim,عِلِمْ
illet,"عِلَّتْ "
illet,"عِلَّتْ "
illet-i mûcide,"عِلَّتِ مُوجِدَه "
illet-i zillet,عِلَّتِ ذِلَّتْ
illiyet,عِلِّيَتْ
ilm-i cifir,"عِلْمِ جِفِرْ "
ilmi kelâm,عِلْمِ كَلاَمْ
ilm-i münâzara,"عِلْمِ مُنَاظَرَه "
ilm-i muhît,"عِلْمِ مُح۪يطْ "
ilm-i usûl,"عِلْمِ اُصُولْ "
ilm-i usûl-ü dîn,"عِلْمِ اُصُولُ د۪ينْ "
iltibâs,"اِلْتِبَاسْ "
ilticâ,"اِلْتِجَا "
iltifât,"اِلْتِفَاتْ "
iltihâk,"اِلْتِحَاقْ "
iltimâs,"اِلْتِمَاسْ "
iltizâm,"اِلْتِزَامْ "
ilzâm,"اِلْزَامْ "
îmâ,"ا۪يمَا "
îmâ,"ا۪يمَا "
imâmet,اِمَامَتْ
imâm-ı mübîn,"اِمَامِ مُب۪ينْ "
îmân-ı bil'âhiret,"ا۪يمَانِ بِالْاٰخِرَتْ "
îmân-ı kâmil,"ا۪يمَانِ كَامِلْ "
îmân-ı tahkîkî,"ا۪يمَانِ تَحْق۪يق۪ي "
i'mâr,اِعْمَارْ
imkân,"اِمْكَانْ "
imkân-ı âdî,"اِمْكَانِ عَاد۪ي "
imkân-ı mevt,اِمْكَانِ مَوْتْ
imkân-ı örfî,"اِمْكَانِ عُرْف۪ي "
imkân-ı aklî,"اِمْكَانِ عَقْل۪ي "
imkân-ı zâtî,"اِمْكَانِ ذَات۪ي "
imkân-ı zihnî,"اِمْكَانِ ذِهْن۪ي "
imkan-ı mevt,اِمْڭَانِ مَوْتْ
imlâ,اِمْلَا
imtinâ',"اِمْتِنَاعْ "
imtinân,"اِمْتِنَانْ "
imtisâl,"اِمْتِثَالْ "
imtiyâz,"اِمْتِيَازْ "
imtizâc-ı kimyevî,اِمتِزَاجِ كِمْيَوِي
in'âm,"اِنْعَامْ "
inâyet,"عِنَايَتْ "
inâyet-i hâssa,"عِنَايَتِ خَاصَّه "
inâyet-i ilâhiye,"عِنَايَتِ اِلٰهِيَه "
inâyet-i rabbâniye,"عِنَايَتِ رَبَّانِيَه "
inâyet-i rahmâniye,"عِنَايَتِ رَحْمَانِيَه "
inâyet-i şâmile,"عِنَايَتِ شَامِلَه "
indî,"عِنْد۪ي "
indallâh,عِنْدَاللّٰهْ
infâk,"اِنْفَاقْ "
infiâl,اِنْفِعَالْ
infilâk,اِنْفِلَاقْ
infial,اِنْفِعَالْ
inhidâm,"اِنْهِدَامْ "
inhilâl,اِنْحِلَالْ
inhilal,اِنْحِلَالْ
inhirâf,"اِنْحِرَافْ "
inhisâr,"اِنْحِصَارْ "
in'idâm,"اِنْعِدَامْ "
in'ikâs,"اِنْعِكَاسْ "
inkıbâz,"اِنْقِبَاضْ "
inkıbâz,"اِنْقِبَاضْ "
inkırâz,"اِنْقِرَاضْ "
inkısâm,"اِنْقِسَامْ "
inkıtâ',"اِنْقِطَاعْ "
inkisâr,اِنْكِسَارْ
inkisâr-ı hayâl,"اِنْكِسَارِ خَيَالْ "
inkişâf,"اِنْكِشَافْ "
inkişâf-ı uhuvvet,اِنْكِشَافِ اُخُوَّتْ
ins,"اِنْسْ "
insî,اِنْس۪ي
insicâm,"اِنْسِجَامْ "
insicâm-ı ecmel,اِنْسِجَامِ اَجْمَلْ
insan-ı kâmil,"اِنْسَانِ كَامِلْ "
insan-ı müştekî,اِنْسَانِ مُشْتَكِي
insaniyet,اِنْسَانِيَتْ
insaniyet-i kübrâ,اِنْسَانِيَتِ كُبْرَا
insaniyetperver,اِنْسَانِيَتْ پَرْوَرْ
inşâ,اِنْشَا
inşirâh,"اِنْشِرَاحْ "
inşirâh-ı sadr,"اِنْشِرَاحِ صَدْرْ "
intâk-ı bilhak,"اِنْطَاقِ بِالْحَقْ "
intibâh,"اِنْتِبَاهْ "
intifâ,اِنْتِفَا
intifa',اِنْتِفَاعْ
intifa',اِنْتِفَاعْ
intihâ,اِنْتِهَا
intişâr,"اِنْتِشَارْ "
intizâm,"اِنْتِظَامْ "
intizĀm,"اِنْتِظَامْ "
intizâm-ı ekmel,اِنْتِظَامِ اَكْمَلْ
intizâm-ı fâik,اِنْتِظَامِ فَائِقْ
intizâm-ı mutlak,اِنْتِظَامِ مُطْلَقْ
intizâr,"اِنْتِظَارْ "
inayet-i sermediye,عِنَايَتِ سَرْمَدِيَه
inzâl,"اِنْزَالْ "
inzâl-i kütüb,"اِنْزَالِ كُتُبْ "
inzibât,اِنْضِبَاطْ
inzimâm,اِنْضِمَامْ
inzimâm-ı re'y,اِنْضِمَامِ رَأْيْ
inzivâ,"اِنْزِوَا "
irâde,اِرَادَه
i'râz,"اِعْرَاضْ "
ircâ',اِرْجَاعْ
irsâl,"اِرْسَالْ "
irsâl-i rusül,"اِرْسَالِ رُسُلْ "
irsiyet,"اِرْثِيَتْ "
irşâd,"اِرْشَادْ "
irşâd-ı nebevi,اِرْشَادِ نَبَوِي
irtibat,اِرْتِبَاطْ
irtifâ',اِرْتِفَاعْ
irtisâm,اِرْتِسَامْ
isâbet-i nazar,"اِصَابَتِ نَظَرْ "
îsâl,"ا۪يصَالْ "
îsâr,"ا۪يثَارْ "
isbât,"اِثْبَاتْ "
iskân,"اِسْكَانْ "
ismet,عِصْمَتْ
ism-i celâl,"اِسْمِ جَلَالْ "
ism-i hakîm,اِسْمِ حَكِيمْ
ism-i kadîr,اِسْمِ قَدِيرْ
ism-i a'zam,"اِسْمِ اَعْظَمْ "
ispirtizma,"اِيسْپِيرْتِيزْمَه "
istiâne,اِسْتِعَانَه
istiâre,"اِسْتِعَارَه "
istibdâd-ı mutlak,"اِسْتِبْدَادِ مُطْلَقْ "
istid'â,اِسْتِدْعَا
istidlâl,اِسْتِدْلَالْ
istifâde,اِسْتِفَادَه
istifhâm,اِسْتِفْهَامْ
istifsâr,"اِسْتِفْسَارْ "
istifsâr,"اِسْتِفْسَارْ "
istiğfâr,"اِسْتِغْفَارْ "
istiğnâ,"اِسْتِغْنَا "
istiğnâ-yı kemâl,اِسْتِغْنَايِ كَمَالْ
istiğnâ-yı mutlak,اِسْتِغْنَايِ مُطْلَقْ
istiğnâ-yı zâtî,اِسْتِغْنَايِ ذَاتِي
istiğrâk,"اِسْتِغْرَاقْ "
istihâle,"اِسْتِحَالَه "
istihdâf,"اِسْتِهْدَافْ "
istihdâm,"اِسْتِخْدَامْ "
istihfâf,"اِسْتِخْفَافْ "
istihsâl,"اِسْتِحْصَالْ "
istihsân,"اِسْتِحْسَانْ "
istihzâ,"اِسْتِهْزَا "
istikĀmet,اِسْتِقَامَتْ
istikbâl,"اِسْتِقْبَالْ "
istikbâl,"اِسْتِقْبَالْ "
istikbâl-i dünyevî,اِسْتِقْبَالِ دُنْيَوِي
istiklâl,"اِسْتِقْلَالْ "
istikrâ,اِسْتِقْرَا
istikamet,اِسْتِقَامَتْ
istîlâ,"اِسْت۪يلَا "
istilzâm,"اِسْتِلْزَامْ "
isti'mâl,"اِسْتِعْمَالْ "
istimrâr,"اِسْتِمْرَارْ "
istinâbe,"اِسْتِنَابَه "
istinâden,"اِسْتِنَادًا "
istînâs,اِسْتِينَاسْ
istinkâf,اِسْتِنْكَافْ
istinsâh,"اِسْتِنْسَاخْ "
istintâk,"اِستِنْطَاقْ "
istirâhat,"اِسْتِرَاحَتِ "
istirhâm,اِسْتِرْحَامْ
istîzâh,"اِسْت۪يضَاحْ "
iş'âr,اِشْعَارْ
işâreten,"اِشَارَتًا "
işâret-i gaybiye,"اِشَارَتِ غَيْبِيَه "
işârî,"اِشَار۪ي "
işgüzâr,اِيشْگُذَارْ
işkâl,اِشْكَالْ
işret,عِشْرَتْ
iştiâl,اِشْتِعَالْ
iştigĀl,"اِشْتِغَالْ "
iştihâr,"اِشْتِهَارْ "
iştirâk,"اِشْتِرَاكْ "
iştirâk-i emvâl,"اِشْتِرَاكِ اَمْوَالْ "
iştirâk-i a'mâl,اِشْتِرَاكِ اَعْمَالِ
iştirâk-i a'mâl-i uhreviye,"اِشْتِرَاكِ اَعْمَالِ  اُخْرَوِيَه "
iştiyâk,"اِشْتِيَاقْ "
işareten,"اِشَارَتًا "
i'tâ,"اِعْطَا "
itâb-ı nâs,عِتَابِ نَاسْ
itfâ,اِطْفَا
ithâm,"اِتْهَامْ "
ithâmnâme,"اِتْهَامْنَامَه "
i'tibârî,"اِعْتِبَار۪ي "
i'tidâl,"اِعْتِدَالْ "
i'tikĀd,"اِعْتِقَادْ "
i'tikad,"اِعْتِقَادْ "
i'timâd,"اِعْتِمَادْ "
i'tirâznâme,"اِعْتِرَاضْنَامَه "
itlâf,"اِتْلَافْ "
itmâm,اِتْمَامْ
itmi'nân,"اِطْمِئْنَانْ "
itmam,"اِتْمَامْ "
ittifâk,"اِتِّفَاقْ "
ittihâd-ı hakîkî,اِتِّحَادِ حَق۪يق۪ي
ittihâd-ı sikke,اِتِّحَادِ سِكَّه
ittihâz,"اِتِّخَاذْ "
ittisâl,اِتِّصَالْ
ittisĀl,اِتِّصَالْ
îzâh,"ا۪يضَاحْ "
îzâhât,"ا۪يضَاحَاتْ "
izâle,"اِزَالَه "
i'zâm,"اِعْظَامْ "
iz'ân,"اِذْعَانْ "
izdihâm,"اِزْدِحَامْ "
izhâr,"اِظْهَارْ "
izhâr-ı hâcet,"اِظْهَارِ حَاجَتْ "
izn-i ilâhî,"اِذْنِ اِلٰه۪ي "
izzet,عِزَّتْ
izzet-i celâl,"عِزَّتِ جَلَالْ "
izzet-i îmân,عِزَّتِ اِيمَانْ
jurnal,"ژَورْنَالْ "
kĀbîl,"قَابِلْ "
kĀdir,"قَادِرْ "
kĀdir,"قَادِرْ "
kâffe,"كَافَّه "
kâfî,كَاف۪ي
kâfir,كَافِرْ
kâhin,كَاهِنْ
kĀide,قَاعِدَه
kâinât,كَائِنَاتْ
kĀl,"قَالْ "
kâmil,كَامِلْ
kâmilîn,كَامِلِينْ
kâmilîn-i nev'-i beşer,كَامِل۪ينِ نَوْعِ بَشَرْ
kĀnûnî,قَانُونِي
kĀnûn-u emrî,قَانُونُ اَمْر۪ي
kĀnûn-u kerem,قَانُونُ كَرَمْ
kâşif,كَاشِفْ
kâtib,كَاتِبْ
kâtibîn-i kirâm,كَاتِب۪ينِ كِرَامْ
kebîr,"كَب۪يرْ "
kefe-i mîzân,كَفَۀِ مِيزَانْ
kefeteyn-i havf u reca,كَفَتَيْنِ خَوْفُ و رَجَا
keffâret,"كَفَّارَتْ "
kehkeşân,"كَهْكَشَانْ "
kehribâr,كَهْرِبَارْ
kelâm,كَلَامْ
kelâm,كَلَامْ
kemâl,"كَمَالْ "
kemâlât,"كَمَالَاتْ "
kemâlî,"كَمَال۪ي "
kemâl-i ciddiyet,"كَمَالِ جِدِّيَتْ "
kemâl-i evsâf,كَمَالِ اَوْصَافْ
kemâl-i ferah ve saâdet,كَمَالِ فَرَحْ وَ سَعَادَتْ
kemâl-i fahr,"كَمَالِ فَخْرْ "
kemâl-i hikmet,"كَمَالِ حِكْمَتْ "
kemâl-i hilkat,كَمَالِ خِلْقَتْ
kemâl-i hürmet,كَمَالِ حُرْمَتْ
kemâl-i hulûs ve iştiyâk,كَمَالِ خُلُوصْ وَ اِشْتِيَاقْ
kemâl-i iftihâr,"كَمَالِ اِفْتِخَارْ "
kemâl-i ihtirâm,"كَمَالِ اِحْتِرَامْ "
kemâl-i ilmî,كَمَالِ عِلْم۪ي
kemâl-i îmân,"كَمَالِ ا۪يمَانْ "
kemâl-i imtiyâz,كَمَالِ اِمْتِيَازْ
kemâl-i intizâm,"كَمَالِ اِنْتِظَامْ "
kemâl-i intizĀm,"كَمَالِ اِنْتِظَامْ "
kemâl-i iştiyâk,"كَمَالِ اِشْتِيَاقْ "
kemâl-i iştiyâk,"كَمَالِ اِشْتِيَاقْ "
kemâl-i kerem,"كَمَالِ كَرَمْ "
kemâl-i kudret,"كَمَالِ قُدْرَتْ "
kemâl-i merhamet,"كَمَالِ مَرْحَمَتْ "
kemâl-i metânet,كَمَالِ مَتَانَتْ
kemâl-i me'yûsiyet,"كَمَالِ مَأْيُوسِيَتْ "
kemâl-i mîzân,"كمَاَلِ م۪يزَانْ "
kemâl-i muhabbet,كَمَالِ مُحَبَّتْ
kemâl-i mutlak,كَمَالِ مُطْلَقْ
kemâl-i muvâzene,كَمَالِ مُوَازَنَه
kemâl-i rızâ,"كَمَالِ رِضَا "
kemâl-i rahmet,"كَمَالِ رَحْمَتْ "
kemâl-i sıfât,كَمَالِ صِفَاتْ
kemâl-i suhûlet,كَمَالِ سُهُولَتْ
kemâl-i sabır,"كَمَالِ صَبِرْ "
kemâl-i sadâkat,"كَمَالِ صَدَاقَتْ "
kemâl-i şevk,كَمَالِ شَوْقْ
kemâl-i teslîmiyet,كَمَالِ تَسْل۪يمِيَتْ
kemâl-i taaccüb,"كَمَالِ تَعَجُّبْ "
kemâl-i vuzûh,"كَمَالِ وُضُوحْ "
kemâl-i acz,كَمَالِ عَجْزْ
kemâl-i adâlet,"كَمَالِ عَدَالَتْ "
kemâl-i zâtî,كَمَالِ ذَات۪ي
kemâl-i zat,كَمَالِ ذَاتْ
kemâl-i zaaf,"كَمَالِ ضَعَفْ "
kemiyet,"كَمِيَتْ "
kemmen,كَمًّا
kemter,"كَمْتَرْ "
kerâhet,كَرَاهَتْ
kerâmet-i esrâr-ı kur'âniye,كَرَامَتِ اَسْرَارِ قُرْاٰنِيَه
kerâmet-i aleviye,"كَرَامَتِ عَلَوِيَه "
kerâmet-i zĀhire,كَرَامَتِ ظَاهِرَه
kerem,كَرَمْ
kerem-i ilâhî,كَرَمِ اِلٰه۪ي
kerîm,كَر۪يمْ
kerîm-i mutlak,"كَر۪يمِ مُطْلَقْ "
kerîm-i rahîm,كَرِيمِ رَحِيمْ
kerr u fer,"كَرُّ و فَرْ "
kerrât,كَرَّاتْ
kesâfet,كَثَافَتْ
kesb,"كَسْبْ "
kesb-i teşahhus-u şöhret,كَسْبِ تَشَخُّصُ شُهْرَتْ
kesîf,"كَث۪يفْ "
kesîr,كَثِيرْ
kesret,"كَثْرَتْ "
kesret-i mutlaka,كَثْرَتِ مُطْلَقَه
kesafet,كَثَافَتْ
keşfen,"كَشْفاً "
keşfî,"كَشْف۪ي "
keşf-i sahîh,كَشْفِ صَحِيحْ
keşif,"كَشِفْ "
keşmekeş,"كَشْمَكَشْ "
keşşâf,"كَشَّافْ "
kevn ü mekân,كَونُ و مَكَانْ
kevnî,كَوْن۪ي
kevser-i kur'ânî,كَوْثَرِ قُرْآنِي
keyfen,كَيْفًا
keyfiyet,"كَيْفِيَتْ "
keyfiyeten,"كَيْفِيَتًا "
kısâs,"قِصَاصْ "
kısm-ı a'zam,"قِسْمِ اَعْظَمْ "
kışır,قِشِرْ
kışr-ı zâhirî,قِشْرِ ظَاهِر۪ي
kıt'a,قِطْعَه
kıyâm,"قِيَامْ "
kıyâm,"قِيَامْ "
kıyâmet-i kübrâ,"قِيَامَتِ كُبْرَا "
kıyâm-ı avâm,قِيَامِ عَوَامْ
kıyâsen,قِيَاسًا
kıyâs-ı binnefs,قِيَاسِ بِالنَّفْسْ
kıyâs-ı temsîlî,قِيَاسِ تَمْثِيلِي
kıyâs-ı adlî,قِيَاسِ عَدْلِي
kıymetdar,ق۪يمَتْدَارْ
kıyamet-i umumiye,قِيامَتِ عُمُومِيَه
kıyye,قِيَّه
kifâyet,"كِفَايَتْ "
kile,ك۪يلَه
kinâye,"كِنَايَه "
kisve,"كِسْوَه "
kisve-i ilmiye,"كِسْوَۀِ عِلْمِيَه "
kitâbet,كِتَابَتْ
kitâbeten,"كِتَابَتًا "
kitâbet-i kudret,"كِتَابَتِ قُدْرَتْ "
kitâb-ı kebîr," كِتَابِ كَبِيرْ"
kitâb-ı kebîr-i âlem,كِتَاب كَبِيرِ عَالَمْ
kitâb-ı mübîn,كِتَابِ مُبِينْ
kitâb-ı mübîn,"كِتَابِ مُب۪ينْ "
kitâb-ı rabbânî,كِتَابِ رَبَّان۪ي
kitle-i nâriye,"كِتْلَۀِ نَارِيَه "
kizb,كِذْبْ
kof,قُوفْ
komite,قُومِيتَه
kozmoğrafya,قُوزْمُوغْرَافْيَه
kübrâ,"كُبْرَا "
küffâr,كُفَّارْ
küfrân,"كُفْرَانْ "
küfrân-ı ni'met,"كُفْرَانِ نِعْمَتْ "
küfr-ü meşkûk,كُفْرِ مَشْكُوكْ
küfr-ü mutlak,كُفْرُ مُطْلَقْ
küfr-ü mağrûrâne,"كُفْرِ مَغْرُورَانَه "
küfür,كُفُرْ
küfüv,"كُفُوْ "
külfet,"كُلْفَتْ "
külhân,"كُلْخَانْ "
külhĀn,"كُلْخَانْ "
küll,كُلّ
küllî,"كُلّ۪ي "
küllî,"كُلّ۪ي "
küllî irâde,كُلّ۪ي اِرَادَه
külliyât,"كُلِّيَاتْ "
külliyât-ı umûr,"كُلِّياَتِ اُمُورْ "
külliyet,"كُلِّيَتْ "
künh,"كُنْهْ "
kürbet,"كُرْبَتْ "
küre-i arz,"كُرَۀِ اَرْضْ "
küsûf,كُسُوفْ
küsûrat,كُسُورَاتْ
küşâde,كُشَادَه
kütüb,"كُتُبْ "
kütüb-ü mukaddese,كُتُبُ مُقَدَّسَه
kütüb-ü mukaddese-i semâviye,كُتُبُ مُقَدَّسَۀِ سَمَاوِيَه
kubh-u mutlak,قُبُحُ مُطْلَقْ
kubûr,"قُبُورْ "
kubuh,قُبُحْ
kuddûs,"قُدُّوسْ "
kudret,قُدْرَتْ
kudret-i mutlaka,قُدْرَتِ مُطْلَقَه
kudsî,"قُدْس۪ي "
kudsiyet,"قُدْسِيَتْ "
kulüp,قُلُوبْ
kumandan-ı a'zam,"قُومَانْدَانِ اَعْظَمْ "
kur'ân-ı ezher,قُرْآنِ اَزْهَرْ
kur'ân-ı mübîn,"قُرْاٰنِ مُب۪ينْ "
kur'ân-ı mu'cizü'l-beyân,قُرْاٰنِ مُعْجِزُ الْبَيَانْ
kur'ân-ı azamet,قُرْاٰنِ عَظَمَتْ
kurbiyet,"قُرْبِيَتْ "
kurbiyet-i ilâhiye,قُرْبِيَتِ اِلَهِيَه
kurbiyet-i mekan,قُرْبِيَتِ مَكَانْ
kurbiyet-i zaman,"قُرْبِيَتِ زَمَانْ "
kurb-u huzûr,قُرْبِ حُضُورْ
kurs,قُرْصْ
kurûn-u ûlâ,قُرُونُ اُولٰي
kurûn-u uhrâ,قُرُونُ اُخْرٰي
kutbiyet,"قُطْبِيَتْ "
kutb-u a'zam,"قُطْبِ اَعْظَمْ "
kutub,"قُطُبْ "
kutur,قُطُرْ
kuvve,"قُوَّه "
kuvve-i gadabiye,"قُوَّۀِ غَضَبِيَه "
kuvve-i hâfıza,"قُوَّۀِ حَافِظَه "
kuvve-i müfekkire,"قُوَّۀِ مُفَكِّرَه "
kuvve-i müvellide,قُوَّۀِ مُوَلِّدَه
kuvve-i musavvire,قُوَّۀِ مُصَوِّرَه
kuvve-i ma'neviye,"قُوَّۀِ مَعْنَوِيَه "
kuvve-i şeheviye,"قُوَّۀِ شَهَوِيَه "
kuvve-i vâhime,"قُوَّۀِ وَاهِمَه "
kuvve-i akliye,"قُوَّۀِ عَقْلِيَه "
kuvve-i zâika,"قُوَّۀِ ذَائِقَه "
kabûl-ü nebevî,قبُولُ نَبَوِي
kabûl-ü teslîmî,قَبُولُ تَسْلِيمْ
kabûl-ü adem,"قَبُولِ عَدَمْ "
kabz,قَبْضْ
kabz-ı ervâh,قَبْضِ اَرْوَاحْ
kabza,"قَبْضَه "
kabza-i tasarruf,"قَبْضَۀِ تَصَرُّفْ "
kadem,"قَدَمْ "
kader,قَدَرْ
kaderî,"قَدَر۪ي "
kadîm,"قَد۪يمْ "
kadîm-i lemyezel,قَدِيمِ لَمْ يَزَلْ
kadîr,قَدِيرْ
kadîr-i ezelî,"قَد۪يرِ اَزَل۪ي "
kadîr-i hakîm,"قَد۪يرِ حَك۪يمْ "
kadîr-i mutlak,"قَد۪يرِ مُطْلَقْ "
kadîr-i rahîm,قَد۪يرِ رَح۪يمْ
kadîr-i zülcelâl,قَد۪يرِ ذُو الْجَلَالْ
kahır,قَهْرْ
kaht,"قَحْطْ "
kaht ve galâ,قَحْطُ وَ غَلَا
kaideten,"قَاعِدَةً "
kal',قَلْعْ
kalb,"قَلْبْ "
kalem-i kudret,قَلَمِ قُدْرَتْ
kalem-i kader,قَلَمِ قَدَرْ
kalem-i kader-i ilâhî,"قَلَمِ قَدَرِ اِلٓه۪ي "
kalp lira,"قَالْپْ ل۪يرَه "
kalak,قَلَقْ
kamer,قَمَرْ
kanâat,"قَنَاعَتْ "
kanun-u tekâmül,قَانُونُ تَكَامُلْ
karâbet,"قَرَابَتْ "
karın,"قَرِنْ "
karîn,قَر۪ينْ
karîne,"قَر۪ينَه "
karye,"قَرْيَه "
kasâvet,"قَسَاوَتْ "
kasâvet-i vahşiyâne,قَساَوَتِ وَحْشِيَانَه
kasd-ı tezyîn,قَصْدِ تَزْييِنْ
kasem,"قَسَمْ "
kasır,"قَصِرْ "
kasır,"قَصِرْ "
kasîde,قَص۪يدَه
kasr-ı islâmiyet,قَصْرِ اِسْلاَمِيَتْ
kasr-ı nazar,"قَصْرِ نَظَرْ "
kat',"قَطْعْ "
kat'î,قَطْع۪ي
kat'î,قَطْع۪ي
katil,قَتِلْ
kat'iyen,"قَطْعِيًا "
kat'iyet,قَطْعِيَتْ
katolik,"قَاتُولِيكْ "
katre,"قَطْرَه "
kat'an,قَطْعاً
kavî,"قَو۪ي "
kavil,"قَوِلْ "
kavlen,"قَوْلاً "
kavlî,قَوْل۪ي
kayd-ı haysiyet,قَيْدِ حَيْثِيَتْ
kayıd,قَيْدْ
kayyûm,"قَيُّومْ "
kazâ,"قَضَا "
kazâ-yı ilâhî,"قَضَايِ اِلٓه۪ي "
kazĀ-yı rabbânî,"قَضَايِ رَبَّان۪ي "
kaziye,"قَضِيَه "
kazayı hacet,قَضَايِ حَاجَتْ
lâdînî,"لَاد۪ين۪ي "
lâdînî,"لَاد۪ين۪ي "
lâhik,لَاحِق
lâhika,"لَاحِقَه "
lâhûtî,لاَهُوت۪ي
lâyemût,"لَايَمُوتْ "
lâyiha,"لَايِحَه "
lâzım-ı zarûrî,لَازِمِ ضَرُور۪ي
leffen,لَفًّا
lemeât,"لَمَعَاتْ "
letâfet,"لَطَافَتْ "
levâzım,لَوَازِمْ
levâzımât,"لَوَازِمَاتْ "
levâzımât-ı arziye,لَوَازِمَاتِ اَرْضِيَه
levh-i ezelî,لَوْحِ اَزَل۪ي
levh-i misâlî,لَوْحِ مِثَالِي
levh-i mahfûz,"لَوْحِ مَحْفُوظْ "
levh-i mahfûz-u a'zam,لَوْحِ مَحْفُوظِ اَعْظَمْ
levh-i mahv u isbât,"لَوْحِ مَحْوُ و اِثْبَاتْ "
levn,لَوْنْ
leyle-i kadir,لَيْلَۀِ قَدِرْ
leyli,لَيْلِي
leyl-i münevver,لَيْلِ مُنَوَّرْ
leziz,لَذ۪يذْ
lezzet-i ma'rifet," لَذَّتِ مَعْرِفَتْ"
lezzet-i rûhâni,لَذَّتِ رُوحَانِيَه
lezzet-i şeytaniye,لَذَّتِ شَيْطَانِيَه
libâs,"لِبَاسْ "
lisân,"لِسَانْ "
lisân-ı duâ,"لِسَانِ دُعَا "
lisân-ı hâl,"لِسَانِ حَالْ "
lisân-ı mahsûs,"لِسَانِ مَخْصُوصْ "
lisân-ı ma'nâ,"لِسَانِ مَعْنَا "
lisân-ı nübüvvet,لِسَانِ نُبُوَّتْ
lisân-ı nahvî,"لِسَانِ نَحْو۪ي "
livâ,"لِوَا "
liyâkat,"لِيَاقَتْ "
lüb,لُبْ
lütf-u yezdân,"لُطْفُ يَزْدَانْ "
lütûf,"لُطُفْ "
lafız,"لَفِظْ "
lafz-ı kâfir,لَفْظِ كَافِرْ
lafz-ı mücessem,لَفْظِ مُجَسَّمْ
lafz-ı ma'nidâr,لَفْظِ مَعْن۪يدَارْ
lafzî,لَفْظ۪ي
lafzan,"لَفْظًا "
latîf,"لَط۪يفْ "
latîf,"لَط۪يفْ "
latîfe,"لَط۪يفَه "
latîfe,"لَط۪يفَه "
mâ,"مَا "
mâdûn,مَادُونْ
mâhir,"مَاهِرْ "
mâhirâne,مَاهِرَانَه
mâhiyet,"مَاهِيَتْ "
mâhiyet-i hüviyet,مَاهِيَتِ هُوِيَتْ
mâhiyet-i hayat,مَاهِيَتِ حَيَاتْ
mâhiyet-i ilmiye,"مَاهِيَتِ عِلْمِيَه "
mâhiyet-i insaniye,مَاهِيَتِ اِنْسَانِيَه
mâhiyet-i mücerrede,مَاهِيَتْ مُجَرَّدَه
mâ-i rahmet,مَاءِ رَحْمَتْ
mâil-i kamer,"مَائِلِ قَمَرْ "
mâlâya'nî,مَالَا يَعْن۪ي
mâlik,"مَالِكْ "
mâlik-i ebedî,مَالِكِ اَبَد۪ي
mâni',مَانِعْ
mâşâllâh,"مَاشَاءَ اللّٰهْ "
mâadâ,"مَاعَدَا "
mâyi',"مَايِعْ "
mâzî,"مَاض۪ي "
meâl,"مَآلْ "
meâl-i icmâlî,"مَئَالِ اِجْمَال۪ي "
mebde',"مَبْدَأْ "
mebde'-i cihâd,"مَبْدَأِ جِهَادْ "
mebde'-i hilkat,"مَبْدَأِ خِلْقَتْ "
mebde'-i hareket,مَبْدَأِ حَرَكَتْ
mebde'-i te'lîf,مَبْدَأِ تَأْل۪يفْ
